video_id,comment,published_at
9e5M1bDvhTA,"coba tanyakan ke feri , ganti kapolri dan darurat militer itu pesanan org yg sama atau berbeda",2025-09-08T23:24:20Z
9e5M1bDvhTA,Pidanakan saya yakin pak tni punya data otentik dan di gelar terbuka.,2025-09-08T23:23:34Z
9e5M1bDvhTA,Baru juga mau bangga sama TNI kok gini 😢,2025-09-08T23:22:20Z
9e5M1bDvhTA,Balik ke barak,2025-09-08T23:20:52Z
9e5M1bDvhTA,tantang debat di tv cemen main lapor polisi,2025-09-08T23:19:58Z
9e5M1bDvhTA,Fakta kok dugaan pak😂,2025-09-08T23:13:13Z
9e5M1bDvhTA,Orang ini licik kayak belut,2025-09-08T23:10:59Z
9e5M1bDvhTA,"Jangan mengulangi gaya gaya orba, mengintimidasi masyarakat 😂😂😂😂",2025-09-08T23:09:58Z
9e5M1bDvhTA,bila terbukti memang ada konpirasi mengarah provokator perusuh rakyat mendukung diproses untuk menghindari perpecahan bangsa,2025-09-08T23:06:49Z
9e5M1bDvhTA,Makin kesini makin jadi,2025-09-08T23:05:38Z
9e5M1bDvhTA,Internet TNI beda bisa gak nyambung 😂,2025-09-08T23:04:01Z
9e5M1bDvhTA,"Kebebasan berpendapat harus diberi ruang, jangan dibungkam.",2025-09-08T23:03:13Z
9e5M1bDvhTA,"Ditantang Malaysia padam diam,laut di pagar ole cukong pada diam, warga negara ditembak mati oleh polisi timur Leste pada diam eeee ketika warga masyarakat kritik terhadap pemerintah zalim di tuduh makar dan mengancam keamanan negara. Ngambek gara² gak jadi Darurat militer.",2025-09-08T23:02:25Z
9e5M1bDvhTA,Siap dukung bang fery,2025-09-08T23:02:14Z
9e5M1bDvhTA,"Ferri irwandi ini jauh diatas para jendral jendral TNI, jauh kelasnya, ferri pasti menang",2025-09-08T23:01:11Z
9e5M1bDvhTA,"TNI di Indonesia cuma beraninya sama Rakyat sendiri, digaji sama hasil Pajak Rakyat saja kok tingkahnya belagu, malu dong woiii TNI, tugas Anda itu bukan membuat laporan Polisi kepada rakyat sipil, tapi tugas Anda itu menjaga NKRI dari ancaman Asing. TNI cuma bisanya omon-omon doang 👎👎👎",2025-09-08T23:00:21Z
